127.0.0.1 - - [20/Dec/2023:15:19:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:59 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:26:27 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:26:56 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:26:56 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:26:56 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:26:57 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:29:11 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:29:29 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:30:59 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:00 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:00 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:00 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:00 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:00 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:01 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:01 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:01 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:01 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:01 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:02 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:02 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:02 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:02 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:03 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:03 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:03 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:04 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:04 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:04 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:31:04 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:33:37 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:33:38 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:33:38 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:33:38 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:34:25 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:35:36 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:36:40 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:36:49 +0530] "GET /JSP/calculator.jsp?num1=&num2= HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:37:16 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:37:20 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:38:04 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:38:52 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:47 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:47 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:47 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:48 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:48 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:48 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:48 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:48 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:39:48 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:40:17 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:02:33 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:02:43 +0530] "GET /JSP/calculator.jsp?num1=10&num2=0&operation=div HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:03:16 +0530] "GET /JSP/calculator.jsp?num1=10&num2=0&operation=div HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:03:18 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:03:32 +0530] "GET /JSP/calculator.jsp?num1=10&num2=0&operation=div HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:03:36 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
